Secteur,Nom,Date création,Adresse,Code postal,Ville,Département,Téléphone,Email,Site web,SIREN,NAF
Coiffure,BRON COIFFURE,1994-06-17,138 AVENUE FRANKLIN ROOSEVELT 69500 BRON,69500,BRON,69,,,,397687997,96.02A
Soins de beauté / esthétique,BAUTEM,1994-05-01,117 RUE DE COURCELLES 75017 PARIS,75017,PARIS,75,,,,397860933,96.02B
Soins de beauté / esthétique,KARINE ETIENNE (FONTAINE),1994-04-01,95 ROUTE DE LA COTE BLANCHE 76720 HEUGLEVILLE-SUR-SCIE,76720,HEUGLEVILLE-SUR-SCIE,76,,,,394892848,96.02B
"Entretien corporel (spa, hammam...)",ETABLISSEMENT THERMAL DE SAINT-AMAND,1994-03-24,31 AVENUE DE L'OPERA 75001 PARIS,75001,PARIS,75,,,,394787311,96.04Z
Soins de beauté / esthétique,CATHERINE KUJAWA (FRAIX),1994-03-22,LD LE SAUVAY 11 CHEMIN DE LA CHARRETTE 73200 ALBERTVILLE,73200,ALBERTVILLE,73,,,,394496681,96.02B
Coiffure,CHANTAL MONVOISIN (HENRY),1994-03-15,90 GRANDE RUE DE LA RESISTANCE 10110 BAR-SUR-SEINE,10110,BAR-SUR-SEINE,10,,,,394524094,96.02A
Coiffure,ISABELLE BAREZ (CHARPENTIER) (COIF'ISABELLE),1994-03-03,2 RUE DU TRAITE DE PAIX 02140 VERVINS,02140,VERVINS,02,,,,394240683,96.02A
"Entretien corporel (spa, hammam...)",SOCIETE THERMALE D'AX LES THERMES,1994-01-06,LES THERMES DU TEICH 2 AVENUE ALBERT DURANDEAU 09110 AX-LES-THERMES,09110,AX-LES-THERMES,09,,,,393505359,96.04Z
Coiffure,SANDRINE BILLARD (SALON COUP'TIFF),1994-01-01,RESIDENCE DARCY 1 RUE DE LA REPUBLIQUE 69240 THIZY-LES-BOURGS,69240,THIZY-LES-BOURGS,69,,,,393986195,96.02A
"Entretien corporel (spa, hammam...)",SANDRA RENAUDAT (LE JARDIN DE SANDRA),1994-01-01,44 B AVENUE DU CENTRE 78230 LE PECQ,78230,LE PECQ,78,,,,399154764,96.04Z
"Entretien corporel (spa, hammam...)",CHRISTOPHE RICHARD,1994-01-01,PL DE LA LIBERATION 73350 BOZEL,73350,BOZEL,73,,,,393710199,96.04Z
Coiffure,SARL HARDEN,1993-12-15,CTR COM MADELEIN CONTINENT LA MADELEINE 35400 SAINT-MALO,35400,SAINT-MALO,35,,,,393921069,96.02A
"Entretien corporel (spa, hammam...)",THIERRY SAINT-AURET,1993-11-15,VILLA PARADISE CUL DE SAC RESIDENCE PARADISE 97150 SAINT MARTIN,97150,SAINT MARTIN,978,,,,393055090,96.04Z
"Entretien corporel (spa, hammam...)",CAMILLE POULAIN,1993-10-02,86 BOULEVARD EUGENE CHAUMIN 49000 ANGERS,49000,ANGERS,49,,,,392993309,96.04Z
